Year,Comedy,Drama,Variety,Lead Comedy Actor,Lead Drama Actor,Lead Comedy Actress,Lead Drama Actress,Column9
1949,"Pantomime Quiz (Most Popular Television Program)

(KTLA)

The Necklace (Best Film Made for Television)

(Your Show Time series)","Pantomime Quiz (Most Popular Television Program)

(KTLA)

The Necklace (Best Film Made for Television)

(Your Show Time series)","Pantomime Quiz (Most Popular Television Program)

(KTLA)

The Necklace (Best Film Made for Television)

(Your Show Time series)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)","Shirley Dinsdale (Most Outstanding Television Personality)

(KTLA)",
1950,"Texaco Star Theatre

(KNBH)","Texaco Star Theatre

(KNBH)","The Ed Wynn Show

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)","Milton Berle (Most Outstanding Kinescoped Personality)

(KNBH)

Ed Wynn (Most Outstanding Live Personality)

(KTTV)",
1951,"Pulitzer Prize Playhouse

(ABC)","Pulitzer Prize Playhouse

(ABC)","The Alan Young Show

(CBS)","Alan Young

(CBS)","Alan Young

(CBS)","Gertrude Berg

(CBS)","Gertrude Berg

(CBS)",
1952,"The Red Skelton Show

(CBS)","Studio One

(CBS)","Your Show of Shows

(NBC)","Red Skelton

(NBC)","Sid Caesar

(NBC)","Imogene Coca

(NBC)","Imogene Coca

(NBC)",
1953,"I Love Lucy

(CBS)","Robert Montgomery Presents

(NBC)","Your Show of Shows

(NBC)","Jimmy Durante

(NBC)",Thomas Mitchell,"Lucille Ball

(CBS)",Helen Hayes,
1954,"I Love Lucy

(CBS)","The U.S. Steel Hour

(ABC)

Dragnet

(NBC)","Omnibus

(CBS)","Donald O'Connor

The Colgate Comedy Hour

(NBC)","Donald O'Connor

The Colgate Comedy Hour

(NBC)","Eve Arden

Our Miss Brooks

(CBS)","Eve Arden

Our Miss Brooks

(CBS)",
1955,"Make Room for Daddy

(ABC)","The U.S. Steel Hour

(ABC)

Dragnet

(NBC)

Stories of the Century

(Syndicated)","Walt Disney's Disneyland

(ABC)","Danny Thomas

Make Room for Daddy

(ABC)","Danny Thomas

Make Room for Daddy

(ABC)","Loretta Young

The Loretta Young Show

(NBC)","Loretta Young

The Loretta Young Show

(NBC)",
1956,"The Phil Silvers Show

(CBS)","Producers' Showcase

(NBC)","Toast of the Town

(CBS)","Phil Silvers

The Phil Silvers Show

(CBS)","Phil Silvers

The Phil Silvers Show

(CBS)","Lucille Ball

I Love Lucy

(CBS)","Lucille Ball

I Love Lucy

(CBS)",
1957,"The Phil Silvers Show

(CBS)","Playhouse 90

(CBS)",no award given,"Sid Caesar

Caesar's Hour

(NBC)","Robert Young

Father Knows Best

(CBS)","Nanette Fabray

Caesar's Hour

(NBC)","Loretta Young

The Loretta Young Show

(NBC)",
1958,"The Phil Silvers Show

(CBS)","Gunsmoke

(CBS)

Playhouse 90

(CBS)","The Dinah Shore Chevy Show

(NBC)","Robert Young

Father Knows Best

(CBS)","Robert Young

Father Knows Best

(CBS)","Jane Wyatt

Father Knows Best

(CBS)","Jane Wyatt

Father Knows Best

(CBS)",
